"xDstar","xCstar","M"
0.0146,0,22
0.0213,0,23
0.0278,0,24
0.0343,0,25
0.0597,0,29
0.0598,0,29
0,0.2833,29
0.0845,0,33
0.009,0.991,35
0,0.479,35
0.0163,0.9837,36
0.0236,0.9764,37
0.0308,0.9692,38
0.1208,0,39
0.038,0.962,39
0.1268,0,40
0.0452,0.9548,40
0.0523,0.9477,41
0.0594,0.9406,42
0.0665,0.9335,43
0.0735,0.9265,44
0.0805,0.9195,45
0.1624,0,46
0.0875,0.9125,46
0.0945,0.9055,47
0.1014,0.8986,48
0.1083,0.8917,49
0.1152,0.8848,50
0.1221,0.8779,51
0.1289,0.8711,52
0.1357,0.8643,53
0.209,0,54
0.1425,0.8575,54
0.1493,0.8507,55
0.1561,0.8439,56
0.2264,0,57
0.1628,0.8372,57
0.1695,0.8305,58
0.1762,0.8238,59
0.2436,0,60
0.1829,0.8171,60
0.2493,0,61
0.1895,0.8105,61
0.255,0,62
0.1962,0.8038,62
0.2608,0,63
0.2028,0.7972,63
0.2665,0,64
0.2093,0.7907,64
0.2722,0,65
0.2159,0.7841,65
0.2224,0.7776,66
0.2289,0.7711,67
0.2892,0,68
0.2354,0.7646,68
0.2418,0.7582,69
0.3005,0,70
0.2483,0.7517,70
0.2547,0.7453,71
0.3117,0,72
0.261,0.739,72
0.2674,0.7326,73
0.2737,0.7263,74
0.28,0.72,75
0.3341,0,76
0.2862,0.7138,76
0.2925,0.7075,77
0.2987,0.7013,78
0.3048,0.6952,79
0.3564,0,80
0.311,0.689,80
0.3619,0,81
0.3171,0.6829,81
0.3231,0.6769,82
0.3231,0.6768,82
0.3292,0.6708,83
0.3352,0.6648,84
0.3412,0.6588,85
0.3471,0.6529,86
0.3531,0.6469,87
0.359,0.641,88
0.3648,0.6352,89
0.3706,0.6294,90
0.3764,0.6236,91
0.3822,0.6178,92
0.4276,0,93
0.3879,0.6121,93
0.3936,0.6064,94
0.3993,0.6007,95
0.4049,0.5951,96
0.4492,0,97
0.4106,0.5894,97
0.4546,0,98
0.4161,0.5839,98
0.46,0,99
0.4217,0.5783,99
0.4272,0.5728,100
0.4707,0,101
0.4327,0.5673,101
0.476,0,102
0.4382,0.5618,102
0.4814,0,103
0.4437,0.5563,103
0.4491,0.5509,104
0.4545,0.5455,105
0.4974,0,106
0.4599,0.5401,106
0.5027,0,107
0.4652,0.5348,107
0.508,0,108
0.4706,0.5294,108
0.5133,0,109
0.4759,0.5241,109
0.5186,0,110
0.4812,0.5188,110
0.5239,0,111
0.4865,0.5135,111
0.5292,0,112
0.4917,0.5083,112
0.5345,0,113
0.497,0.503,113
0.5398,0,114
0.5022,0.4978,114
0.5451,0,115
0.5074,0.4926,115
0.5504,0,116
0.5126,0.4874,116
0.5178,0.4822,117
0.5557,0,117
0.5609,0,118
0.523,0.477,118
0.5662,0,119
0.5282,0.4718,119
0.5715,0,120
0.5333,0.4667,120
0.5385,0.4615,121
0.5768,0,121
0.5436,0.4564,122
0.5821,0,122
0.5488,0.4512,123
0.5874,0,123
0.5926,0,124
0.5539,0.4461,124
0.559,0.441,125
0.559,0.4409,125
0.5979,0,125
0.5642,0.4358,126
0.6032,0,126
0.5693,0.4307,127
0.5744,0.4256,128
0.6367,-0.1749,128
0.5796,0.4204,129
0.637,-0.1367,129
0.6191,0,129
0.5847,0.4153,130
0.6374,-0.099,130
0.5899,0.4101,131
0.595,0.405,132
0.6002,0.3998,133
0.6053,0.3947,134
0.6105,0.3895,135
0.6415,0.0723,135
0.6157,0.3843,136
0.6431,0.101,136
0.6449,0.1275,137
0.6208,0.3791,137
0.6208,0.3792,137
0.6617,0,137
0.626,0.3739,138
0.626,0.374,138
0.6471,0.1517,138
0.6671,0,138
0.6313,0.3687,139
0.6495,0.1738,139
0.6724,0,139
0.6365,0.3635,140
0.6522,0.1939,140
0.6417,0.3583,141
0.6551,0.2123,141
0.647,0.353,142
0.6583,0.2291,142
0.6583,0.229,142
0.6885,0,142
0.6523,0.3477,143
0.6616,0.2445,143
0.6616,0.2444,143
0.6939,0,143
0.6576,0.3424,144
0.6993,0,144
0.6651,0.2586,144
0.6629,0.3371,145
0.6687,0.2717,145
0.7047,0,145
0.6682,0.3318,146
0.6724,0.2839,146
0.6736,0.3264,147
0.6763,0.2952,147
0.7155,0,147
0.679,0.321,148
0.6803,0.3058,148
0.721,0,148
0.6844,0.3156,149
0.7264,0,149
0.7319,0,150
0.6898,0.3101,150
0.6898,0.3102,150
0.6952,0.3048,151
0.7373,0,151
0.6952,0.3047,151
0.7007,0.2993,152
0.7428,0,152
0.7062,0.2938,153
0.7482,0,153
0.7537,0,154
0.7118,0.2882,154
0.7117,0.2883,154
0.7173,0.2827,155
0.7592,0,155
0.7229,0.2771,156
0.7285,0.2715,157
0.7702,0,157
0.7342,0.2658,158
0.7757,0,158
0.7398,0.2602,159
0.7455,0.2545,160
0.7513,0.2487,161
0.7923,0,161
0.7979,0,162
0.757,0.243,162
0.7628,0.2372,163
0.8034,0,163
0.809,0,164
0.7687,0.2313,164
0.8145,0,165
0.7745,0.2255,165
0.7804,0.2196,166
0.8201,0,166
0.7863,0.2137,167
0.7923,0.2077,168
0.8313,0,168
0.7982,0.2018,169
0.8042,0.1958,170
0.8103,0.1897,171
0.8163,0.1837,172
0.8224,0.1776,173
0.8285,0.1715,174
0.8285,0.1714,174
0.8347,0.1653,175
0.8762,0,176
0.8409,0.1591,176
0.8471,0.1529,177
0.8533,0.1467,178
0.8875,0,178
0.8595,0.1405,179
0.8658,0.1342,180
0.8988,0,180
0.8721,0.1279,181
0.8784,0.1216,182
0.9101,0,182
0.8847,0.1153,183
0.8911,0.1089,184
0.9214,0,184
0.8975,0.1025,185
0.9271,0,185
0.9039,0.0961,186
0.9384,0,187
0.9103,0.0897,187
0.9167,0.0833,188
0.9441,0,188
0.9231,0.0769,189
0.9498,0,189
0.9231,0.0768,189
0.9296,0.0704,190
0.9361,0.0639,191
0.9612,0,191
0.9426,0.0574,192
0.9669,0,192
0.9491,0.0509,193
0.9726,0,193
0.9556,0.0444,194
0.9783,0,194
0.9621,0.0379,195
0.9686,0.0314,196
0.9896,0,196
0.9752,0.0248,197
0.9817,0.0183,198
0.9883,0.0117,199
0.9949,0.0051,200
